"SAMPLE_ID","SUBTYPE","CDH1","CSMD1","DMD","DST","FAT3","FLG","GATA3","HMCN1","HUWE1","MAP3K1","MUC16","PIK3CA","RUNX1","RYR2","SPTA1","SYNE1","TP53","TTN","USH2A","ZFHX4"
"TCGA-3C-AAAU-01","BRCA_LumA"," 0.7441","-1.6562","-8.2408","-2.6293","-2.7386","-3.8104"," 1.6484","-3.4910"," 1.5586"," 1.1157","-3.1070","-1.3910"," 1.3250","-1.1725","-1.5278","-3.1300","-0.0905","-1.1050","-0.4910","-1.8013"
"TCGA-3C-AALI-01","BRCA_Her2"," 0.6214","-1.8906","-6.6421","-2.8095","-2.3269","-2.1694"," 1.0525","-1.1341"," 1.4945","-0.5176","-1.3878","-2.3955","-0.3930","-1.2537","-0.2852","-3.8396","-3.0785","-0.7511","-1.3315","-1.9924"
"TCGA-3C-AALJ-01","BRCA_LumB"," 0.4001","-2.9480","-6.5725","-4.0137","-2.6019","-1.4665"," 1.3439","-1.0623","-1.8193","-0.6732","-3.2975","-3.3548"," 1.0012","-1.6815","-1.3973","-3.3502","-0.2690","-0.6282"," 0.3822","-0.9036"
"TCGA-3C-AALK-01","BRCA_LumA"," 0.4507"," 0.2366","-5.5904","-2.8701","-0.6130","-0.9510"," 1.2012"," 0.4951","-0.7985"," 0.9809","-1.8653","-2.3648"," 1.2945","-0.3201","-1.0405","-2.6255","-0.0327","-0.6912","-0.5200","-0.1483"
"TCGA-4H-AAAK-01","BRCA_LumA","-0.8660"," 1.4151","-5.7241","-3.5243"," 0.3034","-1.4629"," 1.6312"," 0.9137","-1.0123","-0.0621","-2.2848","-1.8075"," 1.0210","-0.0473","-0.4949","-1.9593"," 0.0800","-0.2811","-0.8706"," 0.1054"
"TCGA-5L-AAT0-01","BRCA_LumA"," 0.1545","-0.0218","-5.5977","-3.2188"," 0.2331","-0.4669"," 1.7765","-0.1193","-1.3732"," 1.1984","-1.2572","-2.1954"," 0.6155"," 0.0501","-0.9987","-1.8724"," 0.0610","-0.7664","-0.1387","-1.0741"
"TCGA-5T-A9QA-01","BRCA_LumB"," 0.7567","-2.9480","-7.4385","-5.1059","-3.8639","-2.6339"," 1.5927","-6.8025","-2.7430","-1.1246","-3.2975","-3.1225","-1.0643","-1.7975","-1.6395","-5.4772"," 1.2771","-2.1191"," 1.4691","-5.3671"
"TCGA-A1-A0SB-01","BRCA_Normal"," 0.8760"," 0.5571"," 0.2322","-0.6773","-1.0234"," 0.3239","-1.2299"," 1.2391"," 1.1642"," 0.8898","-0.9988","-1.1620"," 0.4519","-0.9771","-1.4005","-2.0622"," 2.7902","-0.1092","-0.3817","-1.2209"
"TCGA-A1-A0SD-01","BRCA_LumA"," 0.5933","-1.6113","-3.7947","-1.3932","-0.1793","-1.7769"," 1.5582","-0.2104"," 0.0267","-0.3274"," 0.5274","-0.5822"," 0.4836"," 0.0512"," 0.3452","-1.3200","-0.2805","-0.7566","-0.5569","-0.7551"
"TCGA-A1-A0SE-01","BRCA_LumA"," 0.4836"," 1.6542","-3.0694","-1.1586"," 0.1391","-1.3507"," 1.5427"," 0.3655"," 0.6168"," 0.6999","-1.3898","-0.9169"," 1.0957","-0.6196","-0.5230","-2.4577","-0.0165","-1.0496","-0.2933","-0.5410"
