initialisation,occ_eucl,occ_cosin,tfidf_eucl,tfidf_cosin
1,407467.65173875,4365.18207254,8703.0950142,
2,401370.74498011,4365.18207254,6959.7395784,
3,407467.65148284,4365.18207254,8699.10589632,
4,367180.93982987,4365.18207254,7989.235002,2279.74552655
5,407467.65095302,4365.18207254,8545.2107552,2206.91136914
6,348297.76137179,4365.18207254,8703.06083803,2227.72283224
7,407467.65130599,4365.18207254,8712.7602356,
8,407467.65148284,4365.18207254,,
9,362030.2128699,4365.18207254,,
10,407467.65098429,4365.18207254,,
